address,symbol,name,chain,score,label,liquidity_usd,positives,negatives,analyzed_at
82mTcMSHWs9UHggQgS5to46mbkiH8pmhjnArdyPyVCAT,AGC,AGC (Alien Green Cat),solana,100,GEM,253274.18,"Nao foi marcado como rugged | Rugcheck score alto: 501 | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Liquidez alta $253,274",Liquidez nao confirmada como travada | Concentrado: top10 tem 100%,2026-04-17 00:58 UTC
iRTXNKLbt9ojybsGx1CJpdM4Ze6ErWVQX1A8cUc3MYx,IRT,IRT (International Rebuilding Trust),solana,100,GEM,213961.15,"Nao foi marcado como rugged | Rugcheck score alto: 501 | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Liquidez alta $213,961",Liquidez nao confirmada como travada | Concentrado: top10 tem 100%,2026-04-17 00:58 UTC
GWrbDx2K7vngKTcwipwEh99ia11DymNgERDAE7nCjNjc,MSBR,MSBR (Microstrategy Bitcoin Reserve),solana,100,GEM,153174.51,"Nao foi marcado como rugged | Rugcheck score alto: 10001 | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Liquidez alta $153,175",Liquidez nao confirmada como travada | Concentrado: top10 tem 100%,2026-04-17 00:58 UTC
2xm2WZ9krE2YAArRC6S6ZzJAYgN813K6hh2dawKjpump,PANDU,PANDU (Pandu Pandas),solana,100,GEM,91584.22,"Nao foi marcado como rugged | Rugcheck score alto: 4419 | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Top10 holders 0% do supply | Liquidez boa $91,584",Liquidez nao confirmada como travada,2026-04-17 00:58 UTC
7mNWyQYJfvf5gJDVwXL8aw8m9Qmo4MDKrLHNaESdpump,unt,unt,solana,100,GEM,52904.86,"Nao foi marcado como rugged | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Liquidez boa $52,905",Rugcheck score baixo: 1 | Liquidez nao confirmada como travada | Concentrado: top10 tem 100%,2026-04-17 00:58 UTC
FFvp48WygUSxCCNP3n9Zu5G7F2yatwXQHbpD2Mkkpump,Skibidi,Skibidi (Skibidi Toilet),solana,100,GEM,67629.31,"Nao foi marcado como rugged | Rugcheck score alto: 13999 | Mint authority inativa | Freeze authority inativa | Top10 holders 0% do supply | Liquidez boa $67,629",Risk [danger]: Large Amount of LP Unlocked | Risk [danger]: Low Liquidity | Liquidez nao confirmada como travada,2026-04-17 00:58 UTC
FBbnzHwJ1WHYwP425cqMNb2t7o7sm6AXQjsQ3sZRpump,JAK,JAK (Jak),solana,100,GEM,93105.36,"Nao foi marcado como rugged | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Top10 holders 48% do supply | Liquidez boa $93,105",Rugcheck score baixo: 1 | Liquidez nao confirmada como travada,2026-04-17 00:58 UTC
zjGjGR9FYrxAopmpeqceisHrK17fvYV2UW4UBCPpump,SOYJAK,SOYJAK (Soyjak),solana,95,GEM,46197.41,"Nao foi marcado como rugged | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Liquidez minima $46,197",Rugcheck score baixo: 1 | Liquidez nao confirmada como travada | Concentrado: top10 tem 100%,2026-04-17 00:59 UTC
EruqNUg7yVD2sTzRpRv8RcbAG9gpUREswd5soqKTxz1m,ZYNX,ZYNX,solana,100,GEM,30773.45,"Nao foi marcado como rugged | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Top10 holders 0% do supply | Liquidez minima $30,773",Rugcheck score baixo: 1 | Liquidez nao confirmada como travada,2026-04-17 00:59 UTC
E71ExYJysQfUfjEdnjvDRfRdQ1d3GQDDWXZoSvzJpump,VET,VET,solana,100,GEM,13785.65,"Nao foi marcado como rugged | Rugcheck score alto: 2570 | Sem risks criticos no Rugcheck | Mint authority inativa | Freeze authority inativa | Liquidez minima $13,786",Liquidez nao confirmada como travada | Concentrado: top10 tem 100%,2026-04-17 00:59 UTC
